 1.00000000e-09  4.24591992e-05  1.00000000e-09  1.80000000e-04 
 2.00000000e-09  5.24690905e-05  2.00000000e-09  3.60000000e-04 
 4.00000000e-09  5.69714735e-05  4.00000000e-09  7.20000000e-04 
 8.00000000e-09  5.37730377e-05  8.00000000e-09  1.44000000e-03 
 1.60000000e-08  5.53360398e-05  1.60000000e-08  2.88000000e-03 
 3.20000000e-08  5.24049026e-05  3.20000000e-08  5.76000000e-03 
 6.40000000e-08  5.32620980e-05  6.40000000e-08  1.15200000e-02 
 1.00000000e-07  5.11905927e-05  1.00000000e-07  1.80000000e-02 
 1.06400000e-07  5.20702178e-05  1.06400000e-07  1.91520000e-02 
 1.19200000e-07  5.19974775e-05  1.19200000e-07  2.14560000e-02 
 1.44800000e-07  5.20794015e-05  1.44800000e-07  2.60640000e-02 
 1.96000000e-07  5.23045456e-05  1.96000000e-07  3.52800000e-02 
 2.96000000e-07  5.32291112e-05  2.96000000e-07  5.32800000e-02 
 3.96000000e-07  5.42494177e-05  3.96000000e-07  7.12800000e-02 
 4.96000000e-07  5.53362456e-05  4.96000000e-07  8.92800000e-02 
 5.96000000e-07  5.63913266e-05  5.96000000e-07  1.07280000e-01 
 6.96000000e-07  5.74661827e-05  6.96000000e-07  1.25280000e-01 
 7.96000000e-07  5.84888708e-05  7.96000000e-07  1.43280000e-01 
 8.96000000e-07  5.95191761e-05  8.96000000e-07  1.61280000e-01 
 9.96000000e-07  6.04906112e-05  9.96000000e-07  1.79280000e-01 
 1.09600000e-06  6.14641257e-05  1.09600000e-06  1.97280000e-01 
 1.19600000e-06  6.23744793e-05  1.19600000e-06  2.15280000e-01 
 1.29600000e-06  6.32816692e-05  1.29600000e-06  2.33280000e-01 
 1.39600000e-06  6.41227907e-05  1.39600000e-06  2.51280000e-01 
 1.49600000e-06  6.49559448e-05  1.49600000e-06  2.69280000e-01 
 1.59600000e-06  6.57189814e-05  1.59600000e-06  2.87280000e-01 
 1.69600000e-06  6.64681976e-05  1.69600000e-06  3.05280000e-01 
 1.79600000e-06  6.71417103e-05  1.79600000e-06  3.23280000e-01 
 1.89600000e-06  6.77935738e-05  1.89600000e-06  3.41280000e-01 
 1.99600000e-06  6.83616150e-05  1.99600000e-06  3.59280000e-01 
 2.09600000e-06  6.88971076e-05  2.09600000e-06  3.77280000e-01 
 2.19600000e-06  6.93369091e-05  2.19600000e-06  3.95280000e-01 
 2.29600000e-06  6.97288201e-05  2.29600000e-06  4.13280000e-01 
 2.39600000e-06  7.00078653e-05  2.39600000e-06  4.31280000e-01 
 2.49600000e-06  7.02174549e-05  2.49600000e-06  4.49280000e-01 
 2.59600000e-06  7.02896543e-05  2.59600000e-06  4.67280000e-01 
 2.69600000e-06  7.02622548e-05  2.69600000e-06  4.85280000e-01 
 2.79600000e-06  7.00628857e-05  2.79600000e-06  5.03280000e-01 
 2.89600000e-06  6.97221055e-05  2.89600000e-06  5.21280000e-01 
 2.99600000e-06  6.91612358e-05  2.99600000e-06  5.39280000e-01 
 3.09600000e-06  6.84016114e-05  3.09600000e-06  5.57280000e-01 
 3.19600000e-06  6.73560732e-05  3.19600000e-06  5.75280000e-01 
 3.29600000e-06  6.60345843e-05  3.29600000e-06  5.93280000e-01 
 3.39600000e-06  6.43394286e-05  3.39600000e-06  6.11280000e-01 
 3.49600000e-06  6.22675402e-05  3.49600000e-06  6.29280000e-01 
 3.59600000e-06  5.97096652e-05  3.59600000e-06  6.47280000e-01 
 3.69600000e-06  5.66500481e-05  3.69600000e-06  6.65280000e-01 
 3.79600000e-06  5.29702663e-05  3.79600000e-06  6.83280000e-01 
 3.89600000e-06  4.86475938e-05  3.89600000e-06  7.01280000e-01 
 3.99600000e-06  4.35652653e-05  3.99600000e-06  7.19280000e-01 
 4.09600000e-06  3.77124126e-05  4.09600000e-06  7.37280000e-01 
 4.19600000e-06  3.10048195e-05  4.19600000e-06  7.55280000e-01 
 4.29600000e-06  2.34924546e-05  4.29600000e-06  7.73280000e-01 
 4.39600000e-06  1.51985745e-05  4.39600000e-06  7.91280000e-01 
 4.49600000e-06  6.34451201e-06  4.49600000e-06  8.09280000e-01 
 4.59600000e-06 -2.78341329e-06  4.59600000e-06  8.27280000e-01 
 4.69600000e-06 -1.15857459e-05  4.69600000e-06  8.45280000e-01 
 4.79600000e-06 -1.92579547e-05  4.79600000e-06  8.63280000e-01 
 4.89600000e-06 -2.45351549e-05  4.89600000e-06  8.81280000e-01 
 4.99600000e-06 -2.58056729e-05  4.99600000e-06  8.99280000e-01 
 5.09600000e-06 -2.08847817e-05  5.09600000e-06  9.17280000e-01 
 5.19600000e-06 -7.15839281e-06  5.19600000e-06  9.35280000e-01 
 5.29600000e-06  1.86205988e-05  5.29600000e-06  9.53280000e-01 
 5.39600000e-06  6.02033193e-05  5.39600000e-06  9.71280000e-01 
 5.49600000e-06  1.22097910e-04  5.49600000e-06  9.89280000e-01 
 5.59600000e-06  2.09529222e-04  5.59600000e-06  1.00728000e+00 
 5.69600000e-06  3.28796413e-04  5.69600000e-06  1.02528000e+00 
 5.79600000e-06  4.87343653e-04  5.79600000e-06  1.04328000e+00 
 5.89600000e-06  6.94237788e-04  5.89600000e-06  1.06128000e+00 
 5.99600000e-06  9.60365350e-04  5.99600000e-06  1.07928000e+00 
 6.09600000e-06  1.29903169e-03  6.09600000e-06  1.09728000e+00 
 6.19600000e-06  1.72631453e-03  6.19600000e-06  1.11528000e+00 
 6.29600000e-06  2.26181546e-03  6.29600000e-06  1.13328000e+00 
 6.39600000e-06  2.92918992e-03  6.39600000e-06  1.15128000e+00 
