name,min,max,scale,value
p_wp,1e-6,10e-6,1e-6,2e-6
p_lp,1e-6,8e-6,1e-6,2e-6
p_mp,1,8,1,4
p_r1_l,5e-6,50e-6,1e-6,10e-6
p_r2_l,20e-6,200e-6,1e-6,50e-6
p_rout_l,30e-6,300e-6,1e-6,125e-6
p_r_w,0.69e-6,0.69e-6,1e-6,0.69e-6
p_nbjt,4,16,1,8
p_cap,1e-12,10e-12,1e-12,2e-12
p_wn_start,0.42e-6,2e-6,1e-6,0.42e-6
p_ln_start,0.5e-6,4e-6,1e-6,1e-6
